,"(TS, TS, TS, TS)","(TS, TS, EF, EF)","(EF, EF, EF, EF)"
2261,44.33190607,47.42900513,8.763936731
2262,4.821515224,-18.84423822,95.82288506
2263,11.03037947,4.435811402,11.36379459
2264,-38.09889083,9.298943552,23.60340944
2265,1.975445214,21.59710422,1.939392978
2266,13.39581338,28.34325132,-12.06798812
2267,19.79429836,36.35555879,48.5205095
2268,18.09212174,-46.90787826,-8.709155951
2269,16.87435209,32.10279044,19.05370977
2270,0.046204318,-1.975906185,34.38690782
2271,3.209125115,16.58471294,11.6257351
2272,44.49314888,-7.827717964,14.73199309
2273,-5.017016606,-40.66277914,-7.884328865
2274,0.290792423,-10.76590105,-3.325612105
2275,0.080878221,-5.826668213,-13.10402891
2276,-17.57945555,-4.779192456,-23.70656086
2277,4.576990898,15.11994273,6.129119346
2278,-0.000558972,-31.51345041,-43.67830837
2279,26.53511046,45.62194735,301.697168
2280,-28.13926938,8.47446815,-9.183548314
2281,17.40673203,18.26137925,9.620393838
2282,-5.124226214,7.374171447,14.85838284
2283,5.065268662,-2.164163118,1.233653898
2284,25.78959716,9.93424181,-1.694194322
2285,33.93421044,25.10640734,-5.469761429
2286,49.87964977,13.38881717,2.693295698
2287,41.45140942,13.06030777,2.18325969
2288,19.68144226,13.58459795,29.03835205
2289,28.8045854,-23.34689091,-8.088868396
2290,11.72849949,-20.85362799,34.05990345
2291,14.77149282,27.30366441,-0.249954899
2292,-23.83619224,40.14981173,14.0715347
2293,36.58838032,-29.91446926,-30.05132811
2294,19.70294627,3.984960819,4.510103298
2295,15.21658431,17.62689671,-20.33017121
2296,-65.11302077,65.08287255,16.69108591
2297,7.817377796,0.061736513,18.71024186
2298,-10.46973543,29.9571232,28.90151783
2299,-7.423832233,-13.45374433,-34.22096862
2300,-23.59991802,-18.22375031,17.74737878
2301,2.102339619,-32.06664514,21.74060754
2302,28.19418136,26.3603262,-32.6365428
2303,-0.274787956,5.660288199,28.58577402
2304,-4.724797934,15.30755488,141.3791237
2305,11.70997777,34.98880533,6.231225759
2306,13.30755488,-3.740974344,-20.20518996
2307,36.24099705,-5.169997741,-0.739631098
2308,-2.831555138,20.93599578,38.01347881
2309,46.46382289,-6.040447927,11.05667326
2310,64.33436784,-47.60175088,-18.91800007
2311,45.29095619,-10.04339077,8.847186811
2312,-29.57385981,-11.36971503,3.346554667
2313,-14.71150351,-0.068744579,-28.37219324
2314,19.95182548,16.77830085,-40.87131114
2315,8.929159136,41.63977061,52.54330777
2316,11.33026157,-10.8669079,16.66227007
2317,-21.94890376,28.43881391,-12.07648168
2318,-8.828666359,9.523456537,-12.59325534
2319,-42.14254771,-38.35784433,-3.885035046
2320,-20.53990029,27.84980634,-15.35362479
2321,45.26815703,-8.317843186,-42.99456009
2322,18.77161487,2.248495987,-9.87084599
